,0.5,1.0,9.71,20.01,29.0,29.08,59.48,72.82,185.76,188.53,205.29,238.49,275.6,283.15,294.48,294.68,294.9,295.13,295.31,295.49
-20.0,7.204011415640897e-12,-2.752508259427049e-10,-5.5995589057079023e-11,2.1103900439400153e-10,-3.755363651957837e-11,-3.0048773763515175e-11,1.7971087936786096e-10,2.6775827874234716e-10,2.7127554172139243e-10,3.7523961903422156e-10,1.1890196210359302e-09,5.152501438924258e-10,8.8119973159885e-10,7.256112064769589e-10,1.4046889797234006e-09,8.473029343164436e-10,7.974302271522251e-10,7.723575228181466e-10,6.245621030109418e-10,1.1221051222917215e-10
-19.84313725490196,2.793401756348512e-11,2.937024549946959e-11,-2.8142502263704866e-10,-2.4941924905781924e-12,-1.919349443357831e-11,5.7304556289046754e-11,5.944335713873491e-11,4.804551910024723e-10,4.485473553545187e-10,9.296159781365682e-11,1.1677357082796646e-09,6.083152509873327e-10,5.960601039227857e-10,7.400004627521771e-10,1.7490294654557936e-09,1.0794883278023982e-09,1.438925920819698e-09,6.205994275682388e-10,6.796574838682545e-10,6.297997313041452e-10
-19.686274509803923,4.389761189278253e-11,7.371737505467154e-13,-6.341658876862521e-11,4.542092837624828e-12,7.645905147046985e-12,4.898246869626521e-11,6.156280497778183e-11,3.075756309909392e-10,5.248290042366133e-10,1.4110514284265705e-10,1.2897693392988471e-09,5.467955504413636e-10,6.386941988337234e-10,6.403650087101296e-10,1.6263205316728238e-09,1.5442743248132456e-09,9.463349263139134e-10,5.535051804157538e-10,4.092762857984563e-10,1.0417939421187263e-09
-19.529411764705884,3.4108214249058333e-12,-1.3157261243245292e-10,2.0802433321311376e-11,-1.808333539603123e-11,-4.79837360779683e-12,-1.6681121841515725e-11,8.069266905895371e-11,4.7407338929105e-10,5.483851363216447e-10,1.3164885156346953e-10,9.597981703770116e-10,8.340299948530372e-10,5.997905432425825e-10,6.403650087101296e-10,1.6263205316728238e-09,1.5442743248132456e-09,9.463349263139134e-10,5.535051804157538e-10,4.092762857984563e-10,1.0417939421187263e-09
-19.372549019607842,-1.2180520685334467e-10,4.763831417287551e-11,7.049187328127627e-13,-2.0679571030218925e-11,2.3135350728000107e-11,1.5646615481203258e-11,1.1914797991514137e-10,3.221827552451278e-10,5.361590187710664e-10,4.4590918819767506e-10,6.665639995903828e-10,9.373639264256317e-10,5.010224559287847e-10,6.015138408288327e-10,1.7080661804212622e-09,1.9431586306144356e-09,1.196269082702493e-09,2.8733443496465854e-10,7.390820744525209e-10,5.530286858483008e-10
-19.215686274509803,2.4044648860682122e-14,1.1555799653016051e-11,-3.828553217573404e-11,4.4241860891109856e-11,-3.1407589653751633e-12,3.320976542179742e-11,1.7256844571081362e-10,1.688350741173296e-10,4.625041011763627e-10,5.502925807314881e-10,5.750893580573855e-10,6.109478468228949e-10,5.583047269350977e-10,8.450154671614747e-10,1.4061249144301042e-09,1.755971624779981e-09,1.0372113838968823e-09,3.3906268528265845e-10,6.086982060061448e-10,5.480350227735508e-10
-19.058823529411764,1.5802935022036096e-10,-1.2175682432953028e-11,4.2992125599423117e-11,8.874528064359253e-12,-8.521189020470046e-13,1.4570441502754777e-10,1.827874215262515e-10,5.407368853546909e-10,4.73537076327941e-10,6.265601546957389e-10,6.749265525689768e-10,9.649944536031725e-10,6.03861419605551e-10,5.838169791814731e-10,1.4508162929669165e-09,1.8830798496426696e-09,1.1632085700405548e-09,5.409321748192538e-10,6.060503623451763e-10,2.4324387942482983e-10
-18.901960784313726,1.3230949295531326e-10,-5.256277557473494e-11,9.095211025940658e-11,3.263562612046889e-11,3.3178976542500264e-11,-1.4425939026970464e-10,2.540067921168765e-10,5.028389998359877e-10,5.799633843420184e-10,5.18890562393441e-10,5.232948383403412e-10,3.539213986687994e-10,3.995537440164873e-10,5.838169791814731e-10,1.4508162929669165e-09,1.8830798496426696e-09,1.1632085700405548e-09,5.409321748192538e-10,6.060503623451763e-10,2.4324387942482983e-10
-18.745098039215687,1.7400701945952624e-11,8.941589177123476e-11,2.1086482730221996e-10,1.1531197872107896e-10,9.619091146176624e-11,5.254049028961082e-11,4.443152039076594e-10,5.637590502949257e-10,5.872571233495495e-10,2.2733365248764214e-10,9.031184817336486e-10,6.15185569591753e-10,3.641048939651277e-10,7.834629251431932e-10,1.6408062597719653e-09,1.1171783150763365e-09,1.2589262124370401e-09,4.1413125230053454e-10,6.988457002074426e-10,5.349072308871602e-10
