,temp_K,log10_temp,peak1,log10_peak1,peak2,log10_peak2,peak3,log10_peak3,peak4,log10_peak4,peak5,log10_peak5,peak6,log10_peak6,peak7,log10_peak7
0,0.03,-1.5228787452803376,20.629329874135173,1.3144851205232153,43.54412792096219,1.6389295971515305,48.66232668293699,1.687192869933963,17.79477482442929,1.2502924968003002,25.88553209167936,1.4130570965771045,47.99977348555639,1.681239187912982,35.75153601902198,1.5532947054449293
1,0.5,-0.3010299956639812,45.72350556373793,1.6601395198121287,37.92710898885193,1.5789497396698362,77.65085782028447,1.8901462578051853,22.551194486197456,1.3531695504279606,22.805729209448312,1.358043963293748,85.51276402289534,1.932030944330247,9.008795102677253,0.9546667093752346
2,1.0,0.0,23.49074712136771,1.3708968296991628,48.91477130663137,1.6894400273904082,96.29281904822284,1.9835939012053867,26.636852467241553,1.4254829053005034,14.1288361565897,1.1501063889123784,33.47421475776936,1.5247103980703762,-9.031598210145512,
3,9.71,0.9872192299080049,26.030576056464632,1.4154837791494053,43.31238319230198,1.6366120807233948,100.0225372796671,2.0000978671340848,26.363672201818105,1.4210059031112618,49.72261746884459,1.6965539824465805,167.76501917641278,2.2247014108288417,78.48414515806174,1.8947819323399413
4,20.01,1.3012470886362115,84.50356834712741,1.9268750483668105,-116.78881557499132,,218.93457789232937,2.340314358196083,56.93140270724339,1.755351884329916,118.08980885596691,2.0722124196406755,408.0665130382076,2.6107309569407993,279.14060640606283,2.445823017625624
5,29.0,1.462397997898956,152.3568308372211,2.1828619303565793,234.06382308193017,2.36933429430317,311.2140632980681,2.493059213879185,80.41841386032638,1.9053555030058744,332.2989882928425,2.521529019041261,590.871950840342,2.771493374165837,421.37597440408234,2.624669769807466
6,29.08,1.4635944021870002,171.77256968487927,2.2349538126638975,292.210619480746,2.465695994959276,369.66124576000675,2.567803922753813,76.73896096280203,1.8850159146019838,289.1777646081956,2.4611648962324004,649.8992148915199,2.812846012319454,400.56830304787553,2.6026765806139966
7,59.48,1.7743709598499167,479.9794821154908,2.6812226728037603,846.8254351619853,2.9277938939678294,1097.5068479077963,3.040407238708501,342.3145970597815,2.5344254188204642,460.5294185345464,2.663257378070623,1912.9490764850427,3.2817034090780495,789.653757515104,2.897436706274379
8,72.82,1.862250674597925,1324.502133598583,3.1220526622250544,2471.171930996015,3.392902962352809,3562.7394751039824,3.551784065780295,1445.0089407286275,3.1598705342185838,1322.1251721495025,3.1212725739093763,5486.899551341437,3.7393270096406863,2389.483619544552,3.378304057679246
9,185.76,2.2689522023944986,1763.9239189445843,3.246479849335991,3038.757321007197,3.482696018159643,4073.927299783659,3.6100132746434026,1615.4412068811976,3.2082911567258674,2579.099791424798,3.411468146335952,5133.87318431873,3.71044513663172,3949.4453531541676,3.5965361090497634
10,188.53,2.275380467527434,976.3767686156103,2.9896174374984534,2283.478064910825,3.3585968441304757,4210.214694099006,3.6243042426492362,1690.6898514989784,3.22806394577844,2317.515002996011,3.3650225543364005,5771.21510046209,3.7612672613131393,4124.1972603973945,3.6153394294178023
11,205.29,2.3123677947159735,2733.204349588332,3.4366721031821834,3964.0104029519334,3.598134785555592,2440.096430221272,3.3874069895704775,3548.9394719474094,3.550098592409468,5193.892963616888,3.715492995391564,5910.901173479016,3.7716536982811286,3620.3565819373875,3.5587513478649524
12,238.49,2.377470173582134,1395.6311511276258,3.144770654536354,1279.1015276341186,3.106905017614927,2019.5602346293954,3.305256810799916,2024.0639323647235,3.306224226070285,2010.936343926468,3.303398323247648,4543.051955234104,3.657347703519987,2780.939813575989,3.444191589757837
13,275.6,2.440279213235588,1297.341016103176,3.113054148748185,1575.9468064704984,3.1975415544947734,2118.0218794700627,3.3259304421189806,2735.3154127377484,3.437007412612205,2251.6231452949014,3.3524957042900807,2992.4948218583663,3.47603340758629,2815.478413546387,3.449552201926139
14,283.15,2.452016565962548,2532.4810613330674,3.4035462062576696,2540.1999047558375,3.404867895405828,2783.4293073695158,3.4445801957133004,2621.4452901629347,3.418540798373114,2497.790511887076,3.397556011561512,3221.894069831811,3.5081112574848805,3408.2744941225933,3.532534564522519
15,294.48,2.4690558044386104,6696.436285072833,3.825843740986872,8304.89885427244,3.9193343475280704,10218.719986215945,4.009396498759713,3467.937400122619,3.5400712494077804,1745.7002671984508,3.2419696783865817,2285.722191017242,3.359023444676956,2358.49046080562,3.3726341240297346
16,294.68,2.4693506611828466,6803.690185929843,3.8327445292784947,9130.249609673094,3.9604826507677955,6885.778021104482,3.8379530181125827,2663.4966830266762,3.425452160274553,1316.7577327435629,3.119505877458984,1989.2139870867056,3.298681504296975,1834.7764300349893,3.263583152447796
17,294.9,2.469674772551798,3599.770134598407,3.5562747695276338,4853.945597107582,3.686094904462257,2315.644544790536,3.3646718952610883,852.0223595335339,2.930450992060847,708.7804022045843,2.850511700791984,955.3617912416479,2.9801678681125687,1174.8927484594547,3.0699982233071856
18,295.13,2.470013357830164,1514.2040301946654,3.1801843977648665,1757.0461073094598,3.2447831581300934,1068.2056865373934,3.02865488558335,928.416258274896,2.9677427371449827,1289.5313194620217,3.110431894519209,1903.5992938010052,3.2795755350117886,1415.8101654311104,3.1510050262120632
19,295.31,2.470278153606752,2028.090381001261,3.307087305244868,3248.129484403637,3.5116333337591334,1662.989344121556,3.220889466414928,821.4320055306298,2.91457162030306,1236.8895257637041,3.0923309118411066,1392.3341562333899,3.1437434772231088,1539.3363143803217,3.1873335149080546
20,295.49,2.470542788031808,1820.834834409199,3.260270553286475,2315.7604622552362,3.3646936348045786,930.2658906107113,2.9686070972859966,1276.3370176435858,3.1059653652764734,1334.3182347851919,3.125259421131202,1600.2678462272606,3.204192679157817,1091.2168715486173,3.037911072088633
