,Vg,Gsd_0.03_K,Gsd_0.5_K,Gsd_1.0_K,Gsd_9.71_K,Gsd_20.01_K,Gsd_29.0_K,Gsd_29.08_K,Gsd_59.48_K,Gsd_72.82_K,Gsd_185.76_K,Gsd_188.53_K,Gsd_205.29_K,Gsd_238.49_K,Gsd_275.6_K,Gsd_283.15_K,Gsd_294.48_K,Gsd_294.68_K,Gsd_294.9_K,Gsd_295.13_K,Gsd_295.31_K,Gsd_295.49_K
10,-19.608993157380255,1.8059470134475308e-12,2.5451399162199675e-11,-2.584791071758426e-11,3.6777701545201035e-12,-1.1352652842574934e-11,4.763534234134429e-11,7.210926523201528e-11,8.591501962793626e-11,-6.318806893112923e-11,4.290672245587419e-10,1.3763248607732068e-10,1.1328181428583156e-09,6.478048317831113e-10,4.4463469485214443e-10,5.129523183367483e-10,1.3501525885419365e-09,1.3043115864683132e-09,8.190084204232048e-10,5.119811159809977e-10,3.136117803525262e-10,9.489142639996122e-10
11,-19.56989247311828,7.382831849332544e-12,-3.901309818636944e-11,1.2559127082701543e-11,3.695588079529449e-11,1.9265316984044474e-11,-7.3787538033934e-11,-1.688122851706545e-11,6.825331583421904e-11,3.2595571208356317e-10,5.116322861956008e-10,9.353437814872125e-11,1.1569717822862692e-09,8.393057967576591e-10,5.915190126581096e-10,5.129523183367483e-10,1.3501525885419365e-09,1.3043115864683132e-09,8.190084204232048e-10,5.119811159809977e-10,3.136117803525262e-10,9.489142639996122e-10
12,-19.53079178885631,2.446915471392666e-10,-2.6109533056419663e-11,-1.1830411622826268e-10,-4.0108524097069954e-11,1.784866652095951e-11,-1.6411939524309846e-11,1.6320528553356214e-10,1.619580308340513e-11,2.2991082604000223e-10,4.3673489224006907e-10,1.3061479619765347e-10,9.8466712120795e-10,6.446725787118839e-10,6.339388477839366e-10,5.129523183367483e-10,1.3501525885419365e-09,1.3043115864683132e-09,8.190084204232048e-10,5.119811159809977e-10,3.136117803525262e-10,9.489142639996122e-10
13,-19.49169110459433,2.2223029682757438e-10,1.6618351393708207e-11,-3.3891323289757423e-10,1.254808499026217e-10,-3.640189392245915e-11,7.43584644841486e-12,-1.6691003353139298e-10,3.947548586937987e-11,3.0322248746841843e-10,5.271410953646956e-10,2.297916216163119e-10,5.633186967553949e-10,8.197092169552994e-10,5.623813735518476e-10,5.020708366620034e-10,1.4158047383815864e-09,1.5714135651896894e-09,9.760966368658322e-10,1.819605330637578e-10,6.663376689549161e-10,5.34634975546863e-10
14,-19.452590420332356,2.1826298540166677e-10,2.257167125141471e-11,-8.594638922814765e-12,1.5182879179874732e-11,6.306164950326943e-11,7.838631919579975e-12,-1.1101068769499428e-10,5.718612621675167e-11,3.4171798750063834e-10,4.000986675173622e-10,1.9828746101185745e-10,5.336844771177904e-10,6.962033961293031e-10,4.591666551419689e-10,5.020708366620034e-10,1.4158047383815864e-09,1.5714135651896894e-09,9.760966368658322e-10,1.819605330637578e-10,6.663376689549161e-10,5.34634975546863e-10
15,-19.41348973607038,-2.982557410640447e-11,1.2173908579469874e-11,-1.205533154804179e-11,-7.053796271664869e-11,-6.775830389344904e-13,-4.044166908705052e-12,-1.53754884331951e-11,1.0920254481119337e-10,4.112543193642069e-10,3.7014102745702016e-10,2.1913945160884935e-10,8.170798183339222e-10,7.790341581521297e-10,5.405202234031804e-10,5.020708366620034e-10,1.4158047383815864e-09,1.5714135651896894e-09,9.760966368658322e-10,1.819605330637578e-10,6.663376689549161e-10,5.34634975546863e-10
16,-19.374389051808407,1.5756628892702776e-11,-1.323539259942331e-10,4.327120567329884e-12,-2.8608120509402057e-11,-1.5358548867750272e-12,6.321159612041921e-11,9.208102527337874e-11,1.1851335135942333e-10,3.446723750230159e-10,5.107975415361984e-10,4.755616550906038e-10,5.750267669953627e-10,9.232755884140402e-10,4.94004775248511e-10,5.020708366620034e-10,1.4158047383815864e-09,1.5714135651896894e-09,9.760966368658322e-10,1.819605330637578e-10,6.663376689549161e-10,5.34634975546863e-10
17,-19.335288367546433,-1.7221588515477143e-11,4.837190019475288e-12,-1.0217073861333737e-11,4.631091846205188e-12,3.049751062011423e-11,3.031807659061449e-11,4.7614638415518354e-11,9.812594431664639e-11,3.9935426726155935e-10,6.379064729059741e-10,3.4029255355358565e-10,9.661982779892063e-10,8.81305906834941e-10,5.155879908749282e-10,5.020708366620034e-10,1.4158047383815864e-09,1.5714135651896894e-09,9.760966368658322e-10,1.819605330637578e-10,6.663376689549161e-10,5.34634975546863e-10
18,-19.296187683284458,-1.1063738963447184e-11,-4.398705959576425e-11,1.0774134953686235e-10,-1.8393556212845697e-11,3.663277406953913e-11,-7.678647036499844e-12,7.49268813636172e-11,8.236586477162905e-11,4.595067014442512e-10,3.9308097763769493e-10,5.234564239004306e-10,5.972737630415662e-10,6.85246941146836e-10,3.2563260535695554e-10,7.593641735201396e-10,1.2570583256706035e-09,1.4617668270556803e-09,8.512682743330587e-10,2.847592907752411e-10,5.221624285159082e-10,4.758628031077187e-10
19,-19.257086999022484,-1.7244802007785223e-11,1.8046294907244253e-11,1.0467465889968845e-10,3.882958611229369e-11,3.498085171866965e-11,-1.8928407638798143e-12,5.574375269402448e-11,9.652609547817377e-11,4.270752559055892e-10,3.072371669673309e-10,4.699966906965762e-10,9.28275586580998e-10,4.846340527923061e-10,4.727205117688563e-10,7.593641735201396e-10,1.2570583256706035e-09,1.4617668270556803e-09,8.512682743330587e-10,2.847592907752411e-10,5.221624285159082e-10,4.758628031077187e-10
